Unnamed: 0,帖子id,评论用户id,评论用户名,评论者是否认证,评论id,评论时间,评论内容,评论点赞数,评论子回复数,评论翻译
0,3.647E+18,2251505667,alexadm32,FALSE,1.80875E+16,2025-06-08 10:15:36,Isso é bom pra Caldeirano,0,0,这玩意儿对卡尔代拉诺有用。
1,3.647E+18,44074638,alghaxalee44,FALSE,1.80683E+16,2025-06-05 16:16:21,🔥,0,0,🔥
2,3.647E+18,4764605144,borninhk1971,FALSE,1.80616E+16,2025-06-04 07:18:59,It will cost the German association a fortune I guess?!,3,0,德国协会估计要花一大笔钱了？！
3,3.647E+18,7174098114,francisleoparada,FALSE,1.80499E+16,2025-06-04 04:06:43,😮😮😮😮,0,0,😮😮😮😮
4,3.71348E+18,67017804678,ktsao11111,FALSE,1.83853E+16,2025-09-04 21:52:07,Fan Zhendong's passion for table tennis will never cease!!🔥🔥🔥,0,0,樊振东对乒乓球的热情永不停歇！！🔥🔥🔥
5,3.71348E+18,74961467438,helennong561,FALSE,1.78983E+16,2025-09-04 10:18:11,继续加油樊振东，新环境需要适应一下!,1,0,继续加油樊振东，新环境需要适应一下!
6,3.71348E+18,1789238426,cci.lee,FALSE,1.80987E+16,2025-09-04 00:22:10,Good job everyone!👏👏👏,0,0,大家做得很好！👏👏👏
7,3.71348E+18,62000808014,bricethomas_studio,FALSE,1.79499E+16,2025-09-03 21:23:22,Nice work ! 😮,1,0,干得好！😮
8,3.71348E+18,3520864187,hyx1229,FALSE,1.85244E+16,2025-09-03 21:14:47,😍😍😍we love FanZhendong 👏👏👏,4,0,😍😍😍我们爱范振东👏👏👏
9,3.71348E+18,36190473220,chodfhgf,FALSE,1.80732E+16,2025-09-03 20:45:06,🥰🥰🥰,1,0,🥰🥰🥰
10,3.71348E+18,3123177601,belasportfoto,FALSE,1.81052E+16,2025-09-03 20:39:52,sehr schöne Serie! 😍😍😍,1,1,非常棒的剧集！😍🥰🥰
11,3.72146E+18,1410819980,emiliafefe,FALSE,1.83208E+16,2025-09-17 18:32:13,So cool this man!,0,0,这个男人真酷！
12,3.72146E+18,5883426752,shevalock,FALSE,1.81365E+16,2025-09-16 10:32:39,👏👏👏,0,0,👏👏👏
13,3.72146E+18,16160769635,lequang.da,FALSE,1.79413E+16,2025-09-15 17:38:18,HE is BACK 🔥,0,0,他回来了 🔥
14,3.72146E+18,51138128082,tumyrzan,FALSE,1.79735E+16,2025-09-15 14:17:18,Вот это Фан!!!❤️🇰🇿,0,0,太棒了！❤️🇰🇿
15,3.72146E+18,74961467438,helennong561,FALSE,1.80978E+16,2025-09-15 12:06:18,给我宝子选一张帅气的照片好么😂,0,0,给我宝子选一张帅气的照片好么😂
16,3.72146E+18,55536238683,action_yuan,FALSE,1.81619E+16,2025-09-15 08:41:51,继续加油，多打几场比赛状态才能恢复,0,0,继续加油，多打几场比赛状态才能恢复
17,3.72146E+18,70883337347,zd1234589,FALSE,1.78556E+16,2025-09-15 07:25:35,😍😍,0,0,😍😍
18,3.72146E+18,73058039415,cherish_d0122,FALSE,1.79016E+16,2025-09-15 03:05:33,FANtastic ❤️❤️,1,0,太棒了❤️❤️
19,3.72146E+18,3071865881,akiraishineko,FALSE,1.80876E+16,2025-09-15 02:16:50,樊振東、おめでとう👏,2,0,樊振東、おめでとう👏
20,3.72146E+18,75094364797,brightfeatherclearsky,FALSE,1.80588E+16,2025-09-15 02:08:58,Fan Zhendong is the best!👏👏👏❤️❤️❤️,2,0,樊振东最棒了！👏👏👏❤️❤️❤️
21,3.72146E+18,1528097858,ng_ka_heen04,FALSE,1.80579E+16,2025-09-14 22:15:17,🔥,2,0,🔥
22,3.72146E+18,70813818975,ctt_high_level_training,FALSE,1.81428E+16,2025-09-14 20:39:24,King back !,11,0,国王回来了！
23,3.72146E+18,43699810665,danielkowalski777,FALSE,1.80257E+16,2025-09-14 20:37:32,Gooooo FZD!!!!! 👏👏👏👏👏,6,0,加油FZD!!!!! 👏👏👏👏👏
24,3.72146E+18,46622161712,connie.pany,FALSE,1.80948E+16,2025-09-14 20:34:41,👏恭喜东哥！打得漂亮！,3,0,👏恭喜东哥！打得漂亮！
25,3.72142E+18,44838361246,mahrooz_hs,FALSE,1.80879E+16,2025-09-18 01:44:21,❤️👏,0,0,爱心和鼓掌👏
26,3.72142E+18,75561241129,clothes5403,FALSE,1.80773E+16,2025-09-17 18:32:39,好棒❤️🙌,0,0,好棒❤️🙌
27,3.72142E+18,1410819980,emiliafefe,FALSE,1.808E+16,2025-09-17 18:32:38,Handsome man!,0,0,帅哥！
28,3.72142E+18,1601253425,uysyn,FALSE,1.83251E+16,2025-09-17 01:51:09,FZD #1,0,0,FZD #1
29,3.72142E+18,74911547616,the_warlord_10,FALSE,1.78594E+16,2025-09-16 23:47:16,@jeet.rajpara,0,0,@jeet.rajpara
30,3.72142E+18,44073853463,samdrabik9,FALSE,1.79988E+16,2025-09-16 16:29:27,@imrichdrabik,0,0,@imrichdrabik
31,3.72142E+18,4145873547,tabletennisworld_wwt,FALSE,1.80403E+16,2025-09-16 12:01:30,face changing 😊😳😦😠,0,0,变脸 😊😳😦😠
