主题数为3时，Perplexity为:-7.308405394566925,Coherence Score为:0.38303492779972087
主题数为4时，Perplexity为:-7.362847383975697,Coherence Score为:0.41415557253160684
主题数为5时，Perplexity为:-7.420033051937401,Coherence Score为:0.4118190968657066
主题数为6时，Perplexity为:-7.466962749978041,Coherence Score为:0.370730476271099
主题数为7时，Perplexity为:-7.498641800520672,Coherence Score为:0.4877184053730882
主题数为8时，Perplexity为:-7.522211905723928,Coherence Score为:0.47698973503133923
主题数为9时，Perplexity为:-7.539611619612163,Coherence Score为:0.46531460517012907
主题数为10时，Perplexity为:-7.554626457416188,Coherence Score为:0.42373489850555857
主题数为11时，Perplexity为:-7.585587817034024,Coherence Score为:0.4751805465193661
主题数为12时，Perplexity为:-7.582119414294344,Coherence Score为:0.47238715717182655
主题数为13时，Perplexity为:-7.6052855370406895,Coherence Score为:0.4985581627446747
主题数为14时，Perplexity为:-7.642184130984638,Coherence Score为:0.4827376694379944
主题数为15时，Perplexity为:-7.670066658925581,Coherence Score为:0.5050890209019729
主题数为16时，Perplexity为:-7.67582074332928,Coherence Score为:0.4958163626929817
主题数为17时，Perplexity为:-7.666901887149899,Coherence Score为:0.4854648462642565
主题数为18时，Perplexity为:-7.69648976619473,Coherence Score为:0.4890376270219979
主题数为19时，Perplexity为:-7.750466264133195,Coherence Score为:0.5122630643713775
主题数为20时，Perplexity为:-7.731570913704302,Coherence Score为:0.5012747179157632
