word,freq
樊振东,12097
德甲,5051
比赛,1968
回应,1714
加盟,1604
德甲联赛,1586
首秀,1286
俱乐部,1264
争议,1215
微博,1143
视频,1128
首次,1090
乒乓球,994
失利,937
饭圈,907
萨尔布吕肯,905
鲁伊斯,866
队友,831
中国,826
运动员,807
德国,784
赛场,743
体育,711
对手,665
杜达,661
选手,633
联赛,616
首战,577
困扰,569
球迷,560
直言,541
向鹏,534
弗朗西斯,522
状态,514
波尔,500
wtt,466
深受,466
国乒,460
奥运会,434
适应,429
时间,425
打球,392
代表,390
需要,390
赛后,387
输给,385
欧洲,379
国际,378
调整,366
乒超,361
热爱,361
这样,347
不敌,344
支持,340
压力,339
希望,328
巴黎,323
参加,319
环境,318
世界,315
国家队,313
施塔特,310
知道,310
出战,308
一样,307
这么,300
诺伊,296
贝格,296
无缘,290
大家,288
媒体,288
问题,286
球队,278
澳门站,276
世界排名,275
采访,275
如何,274
单打,271
结果,271
发文,266
迎来,265
表示,264
职业生涯,263
冠军,261
最终,261
最后,260
王楚,252
赛季,250
国内,248
加油,247
觉得,247
这种,245
北京,244
造谣,243
作为,242
真正,241
那么,240
为什么,239
成为,239
感觉,238
乒协,237
影响,237
球员,237
很多,236
新闻,236
教练,235
遗憾,234
赛事,232
遭遇,232
面对面,232
伤害,231
看到,229
东哥,228
时候,227
奥运冠军,226
训练,226
开始,225
男单,225
回归,223
技术,223
奥运,221
其实,220
首轮,220
名人,219
期待,218
竞技,216
落败,216
应该,215
改进,213
琢磨,213
谣言,213
专访,212
对阵,212
无法,211
输球,211
开门红,210
接受,210
有些,208
谈樊振东,206
隐私,206
不该,205
一直,201
王皓,200
小胖,199
不要,198
国家,197
两场,195
退出,195
保护,193
努力,193
只是,190
主帅,189
邱党,188
心理,186
决定,184
心疼,182
肯定,182
行为,178
第一,177
认为,176
关注,175
比分,175
一次,174
尊重,174
甚至,174
酒店,174
纯粹,173
几乎,172
组织,172
这里,170
主场,169
名将,169
完全,169
选择,167
一场,166
一些,165
征战,165
为了,164
公开,164
质疑,164
超级,164
效力,163
凤凰卫视,159
大满贯,159
刘国梁,157
原因,157
继续,156
一定,155
不过,155
所有人,155
背后,155
相信,154
两连败,153
乒乓,153
交手,153
依然,153
大比分,153
引发,152
能力,152
世界杯,151
录音,151
接下来,151
除了,151
面对,151
出来,150
现场,150
一年,149
满贯,149
甲级联赛,148
未来,147
第四,147
房间,146
只有,145
是否,145
发球,144
不想,143
关键,143
理解,143
优酷,141
并非,141
澳门,141
生涯,141
五局,140
文化,140
进行,139
参赛,138
表现,138
一起,137
来说,137
有人,135
生活,135
通过,135
挑战,134
机会,133
喜欢,130
沦为,130
实力,129
对于,129
恶意,129
战场,128
任何,127
永远,127
回来,126
打法,126
突然,126
观众,126
迎战,126
雨果,126
慢慢,125
或者,125
乒坛,124
决赛,124
球台,123
难过,123
承受,122
情况,121
好好,120
最佳,120
真实,120
网络,120
罗曼,120
之后,119
信息,119
外界,119
出现,118
直接,118
虽然,118
记者,118
开局,117
热血,117
退役,117
一位,116
一超话,116
主教练,116
事件,116
失误,116
守护,116
所有,116
美国,116
从未,115
当然,115
胜利,115
只能,114
不同,113
之前,113
再次,113
内容,112
冠军赛,112
国外,112
手感,112
严重,111
乒颜,111
消息,111
节奏,111
队长,111
一局,110
主动,110
分析,110
看看,110
能够,110
保持,109
国际乒联,109
大赛,109
对话,109
此前,109
发布会,108
沟通,108
而是,108
职业,108
世乒赛,107
坚持,107
待遇,107
方面,107
留洋,107
粉丝,107
首盘,107
事情,106
其他,106
相关,106
团队,105
属于,105
排名第,105
更好,105
正常,105
领导,105
一份,104
安慰,104
心里,104
惜败,104
舆论,104
外协,102
导致,102
赛程,102
这次,102
一切,101
如此,101
计划,101
超话,101
完成,100
普通人,100
这位,100
强大,99
想象,99
揭幕战,99
最难,99
经理,99
个人,98
传播,98
包括,98
带来,98
有点,98
规则,98
不行,97
啊啊啊,97
对付,97
恢复,97
清朗,97
这是,97
人生,96
加入,96
团结,96
爆冷,96
一点,95
决胜局,95
去年,95
意外,95
明显,95
未能,95
激战,95
这场,95
选举,95
地方,94
备战,94
利益,93
客场,93
樊振,93
水平,93
谴责,93
呼吁,92
经历,92
结束,92
轻松,92
不了,91
其中,91
夺冠,91
感到,91
交流,90
崩溃,90
战术,90
某些,90
欧冠,90
北京日报,89
后续,89
确实,89
阶段,89
主力,88
做出,88
失望,88
直播,88
发布,87
商业,87
宣布,87
领先,87
乐观,86
人家,86
收获,86
马龙,86
必须,85
顶尖,85
首局,85
到底,84
卡塔尔,84
发展,84
攻击,84
草率,84
顶级,84
首胜,84
关系,83
各种,83
存在,83
输掉,83
下一场,82
东东,82
解读,82
金牌,82
以后,81
取得,81
毕竟,81
不好,80
报道,80
更是,80
官方,79
每个,79
两人,78
两局,78
周期,78
找到,78
新华社,78
现阶段,78
还要,78
不佳,76
专程,76
巴西,76
接发球,76
时刻,76
来看,76
真是,76
获得,76
词条,76
队伍,76
一种,75
强调,75
朱雨玲,75
离开,75
陌生人,75
了解,74
得主,74
洛杉矶,74
发挥,73
张本,73
才能,73
暴力,73
本人,73
正式,73
激情,73
男队,73
鲁伊兹,73
不可,72
提升,72
熟悉,72
积分,72
全球,71
实现,71
成功,71
日晚,71
是不是,71
上海,70
上海队,70
依旧,70
别人,70
平台,70
机器人,70
运动,70
两战,69
保障,69
排名,69
止步,69
热度,69
群体,69
释怀,69
出去,68
出场,68
善意,68
成绩,68
此次,68
法国,68
法律,68
流量,68
特朗普,68
由于,68
起来,68
双方,67
名字,67
告别,67
回到,67
网友,67
闯入,67
随后,67
坦言,66
所在,66
看着,66
进入,66
不仅,65
不管,65
周雨,65
想法,65
方式,65
泄露,65
网暴,65
门票,65
陷入,65
不少,64
开心,64
斩断,64
更衣室,64
热点,64
竞技状态,64
音频,64
亮相,63
刻不容缓,63
反超,63
多次,63
投票,63
搏杀,63
习惯,62
产业链,62
协会,62
家人,62
容易,62
很大,62
意义,62
持续,62
程序,62
过程,62
遇到,62
首先,62
全力,61
场上,61
宣传,61
当时,61
感谢,61
新科,61
明白,61
登场,61
联系,61
重要,61
下滑,60
不怕,60
突破,60
荣誉,60
达科,60
部分,60
钱江,60
两个,59
体面,59
发现,59
吴敬平,59
安全,59
小将,59
快乐,59
朋友,59
独自,59
相持,59
社会,59
经验,59
解说,59
上演,58
专业,58
创作,58
心态,58
想要,58
机场,58
王励勤,58
非法,58
一单,57
不断,57
主将,57
以为,57
历史,57
可怕,57
对抗,57
总比分,57
核心,57
满意,57
社交,57
祝福,57
私人,57
舒服,57
要求,57
长期,57
饭圈化,57
为国争光,56
值得,56
内耗,56
办法,56
可是,56
来到,56
氛围,56
第二局,56
讨论,56
评论,56
身份,56
连胜,56
链接,56
陌生,56
勇敢,55
只要,55
同样,55
整个,55
根本,55
特别,55
第四局,55
节目,55
要是,55
预期,55
黄友,55
黑色,55
准备,54
宝宝,54
开门,54
总是,54
战胜,54
来自,54
林诗栋,54
第一轮,54
连续,54
一分钟,53
东首,53
为何,53
休息,53
力量,53
后面,53
平时,53
点评,53
话题,53
谈到,53
今年,52
令人,52
侵犯,52
健康,52
反手,52
困难,52
声音,52
始终,52
展现,52
当中,52
总结,52
拥有,52
提到,52
焦点,52
独家,52
责任,52
链条,52
项目,52
鼓励,52
多少,51
孔令辉,51
孤身,51
孩子,51
居然,51
恐怕,51
摸头,51
暴露,51
有血有肉,51
海外,51
男子单打,51
看不到,51
网页,51
自然,51
英雄,51
融合,51
证明,51
一周,50
一城,50
下去,50
不敢,50
全运会,50
击败,50
怎样,50
扳回,50
放弃,50
最好,50
用球,50
终于,50
罚款,50
落后,50
赢过,50
一路,49
不到,49
东京,49
体系,49
全新,49
全面,49
即将,49
参与,49
回忆,49
开朗,49
情绪,49
战绩,49
日本,49
显然,49
激烈,49
男乒,49
笑容,49
紧张,49
过度,49
那种,49
不让,48
友善,48
拿到,48
教练组,48
有个,48
本来,48
率先,48
黑产,48
一边,47
发生,47
受到,47
只想,47
声明,47
处理,47
多方,47
如今,47
威胁,47
安排,47
实在,47
得到,47
得知,47
思考,47
期间,47
标题,47
热议,47
独立,47
细节,47
荣耀,47
诋毁,47
身体,47
风格,47
马上,47
享受,46
以前,46
再度,46
咚咚,46
好像,46
工作,46
巨大,46
当天,46
愿意,46
成长,46
抱歉,46
此后,46
系统,46
红星,46
一战,45
世界冠军,45
两盘,45
人员,45
体育精神,45
卡说,45
喊出来,45
央视,45
德国杯,45
报名,45
没想到,45
畸形,45
舒适,45
说明,45
输赢,45
远远,45
重新,45
一句,44
中均,44
之名,44
今日,44
公平,44
发声,44
外国,44
对此,44
小伙子,44
感情,44
找回,44
抵制,44
无奈,44
根据,44
正手,44
死亡,44
美好,44
观战,44
难免,44
难道,44
不太,43
主席,43
单方面,43
团体,43
国球,43
多人,43
提供,43
旋转,43
日子,43
称樊振东,43
素材库,43
负于,43
连败,43
中国队,42
主要,42
之所以,42
乱象,42
仍以,42
公众,42
冲击,42
几代,42
出国,42
前往,42
影响力,42
很快,42
拿下,42
本应,42
本质,42
本身,42
正如,42
袭击,42
资源,42
转发,42
过手,42
阴影,42
陈梦,42
专注,41
也许,41
值得一提的是,41
再见,41
出席,41
危机,41
基本,41
对国,41
就算,41
或许,41
无球,41
梯队,41
演唱会,41
离谱,41
第四场,41
考量,41
自愿,41
解决,41
说到底,41
足球,41
远离,41
一度,40
价值,40
信仰,40
几年,40
反而,40
告负,40
唯一,40
在你看来,40
场面,40
失控,40
应对,40
心理压力,40
曝光,40
欢迎,40
混乱,40
空间,40
给予,40
自我,40
表达,40
谩骂,40
赶紧,40
跟踪,40
针对,40
闪耀,40
飞来,40
具体,39
变成,39
增加,39
女单,39
孙颖莎,39
学习,39
完整,39
差异,39
席卷,39
干扰,39
度过,39
当地,39
徐瑛彬,39
抹黑,39
放下,39
明确,39
极端,39
欧元,39
湿透,39
男双,39
经过,39
账号,39
输过,39
饱受,39
一步,38
之旅,38
代价,38
允许,38
刚刚,38
勇气,38
博弈,38
后来,38
帮助,38
澄清,38
西班牙,38
风险,38
黄金,38
不如,37
优秀,37
传奇,37
先下,37
关心,37
坏事,37
多哈,37
年轻,37
张继科,37
形成,37
所说,37
昨晚,37
晚上,37
比较,37
涉及,37
王志,37
网上,37
脏水,37
顺利,37
世卫,36
世排,36
世锦赛,36
丰富,36
之外,36
公布,36
其他人,36
内心,36
原来,36
变化,36
可惜,36
场馆,36
巅峰,36
差距,36
承认,36
拼搏,36
无助,36
漏洞,36
热潮,36
理性,36
竟然,36
第二阶段,36
赢球,36
还会,36
透露,36
造成,36
遭受,36
高远,36
乃至,35
之一,35
共同,35
只为,35
各地,35
因素,35
尤其,35
建设,35
念洲,35
手段,35
明明,35
深度,35
现役,35
第一场,35
脑子,35
良好,35
营销,35
评价,35
赶来,35
越来越,35
过去,35
迎接,35
逼退,35
不再,34
不得不,34
不止,34
不用,34
公司,34
同意,34
基地,34
山东,34
市场,34
幸运,34
当作,34
感受,34
指出,34
本是,34
消费,34
然而,34
空前,34
突发,34
第二场,34
绝对,34
逆转,34
首度,34
一天,33
一段,33
一站,33
不足,33
他人,33
以下,33
估计,33
关于,33
关税,33
前国,33
加上,33
反思,33
各方,33
咱们,33
坦白,33
奖金,33
封面,33
当下,33
所谓,33
权力,33
条款,33
格局,33
武器,33
没到,33
混双,33
照顾,33
王者,33
第八位,33
紧咬,33
被迫,33
走心,33
起点,33
迟到,33
陪练,33
面临,33
一条,32
一胜,32
一负,32
东西,32
会议,32
做到,32
势力,32
取消,32
各胜,32
夏季,32
奇克,32
小红书,32
岂能,32
开启,32
很难,32
战况,32
担心,32
改变,32
斯霍芬,32
无关,32
本队,32
柯尼希,32
樊振东们,32
球星,32
看来,32
积累,32
线上,32
维持,32
缺乏,32
赛制,32
路子,32
逃离,32
非正常,32
首场,32
首秀中,32
ddd,31
中东,31
人民币,31
从不,31
代言,31
传统,31
关联,31
几个,31
出色,31
即使,31
围剿,31
层面,31
快门,31
想到,31
打出,31
打败,31
技战术,31
拒绝,31
推广,31
无论,31
最近,31
理由,31
男团,31
矩阵,31
研究,31
第一次,31
而已,31
自身,31
观点,31
调查,31
走出,31
身心,31
高手,31
cas,30
不负,30
做好,30
冠军联赛,30
升国旗,30
卡是,30
压制,30
双打,30
名额,30
哪里,30
头条,30
尽力,30
巨星,30
强势,30
打得,30
拍照,30
提前,30
每天,30
毫无,30
污蔑,30
清楚,30
的确,30
直至,30
确认,30
章程,30
第一盘,30
精神,30
综合,30
而言,30
行业,30
行政化,30
计票,30
资本,30
这件,30
连输,30
部门,30
镜头,30
需求,30
颠覆,30
首个,30
首位,30
一切顺利,29
不可或缺,29
人民日报,29
从来不,29
付出,29
停止,29
全区,29
加强,29
及时,29
可见,29
地产,29
失败,29
官宣樊振东,29
小时,29
彻底,29
征程,29
探讨,29
方博,29
是因为,29
气氛,29
空调,29
艰难,29
落点,29
衣服,29
谈及,29
迅速,29
近日,29
这句,29
频繁,29
一轮,28
两分,28
乌克兰,28
全世界,28
公正,28
关注度,28
告诉,28
哥哥,28
实施,28
对方,28
抑郁,28
挣扎,28
放过,28
故意,28
既然,28
时隔,28
极目,28
模糊,28
欧洲人,28
消耗,28
竞争,28
第二,28
简直,28
系统性,28
网络空间,28
解释,28
