id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,情感结果,情感得分
5210445189482191,Q4nJ4DMKz,7868980999,TTBL德国乒乓球甲级联赛,#ttbl##德国乒乓球甲级联赛##ttbl樊振东#LTTBL德国乒乓球甲级联赛的微博视频,,,,"ttbl,德国乒乓球甲级联赛,ttbl樊振东",71.0,46.0,432.0,2025-09-13 16:00:00,微博视频号,,"http://f.video.weibocdn.com/o0/FL003s0qlx08rkmGncj601041200dviu0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1757758703&ssig=TEwhmVCQs6&KID=unistore,video",,,neutral,0.5
5210082796897434,Q4eizsWkW,7868980999,TTBL德国乒乓球甲级联赛,🎓#TTBL小课堂#｜一场比赛怎么玩？🎯一场TTBL团体对决=最多5️⃣场，先赢3️⃣场获胜。对阵顺序固定：1️⃣A1vsB22️⃣A2vsB13️⃣A3vsB34️⃣A1（或替补）vsB1（或替补）5️⃣双打（A1/B1不能上）📌小知识：打完前两场后，双方必须提前上交可能的双打阵容！👉想看更多TTBL的规则和冷知识吗？留言告诉我们，下期小课堂继续！#ttbl##德国乒乓球甲级联赛##TTBL小课堂#,,,,"TTBL小课堂,ttbl,德国乒乓球甲级联赛",84.0,19.0,399.0,2025-09-12 16:00:00,微博网页版,['https://wx4.sinaimg.cn/large/008Axrqngy1i59w243i31j31hc1hce82.jpg'],,,,neutral,0.5
5209758160391133,Q45QY1DKB,7868980999,TTBL德国乒乓球甲级联赛,#ttbl##德国乒乓球甲级联赛##ttbl樊振东#LTTBL德国乒乓球甲级联赛的微博视频,,,,"ttbl,德国乒乓球甲级联赛,ttbl樊振东",136.0,142.0,1446.0,2025-09-11 18:30:00,微博视频号,,"http://f.video.weibocdn.com/o0/5ExfWFkNlx08rkmrmLuE01041200ehsb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1757758734&ssig=3yAIi7rPS1&KID=unistore,video",,,neutral,0.5
5209824883114391,Q47AAd4c7,5425537789,用户5425537789,#德国乒乓球甲级联赛##ttbl樊振东#,,,,"德国乒乓球甲级联赛,ttbl樊振东",0.0,0.0,1446.0,2025-09-11 22:55:00,荣耀Magic4,,,5209760000000000.0,,neutral,0.5
5209395429378735,Q3WpUDlPV,1656737654,现代快报,【#樊振东参加的德甲联赛赛制#】#老瓦评樊振东德甲表现#自@樊振东加盟@萨尔布吕肯乒乓球甲级俱乐部参加德国乒乓球甲级联赛以来，引发巨大关注。9月10日，@TTBL德国乒乓球甲级联赛发布德甲小科普，解读德国乒乓球甲级联赛赛制：德国乒乓球甲级联赛共有12支球队，常规赛打主客场双循环，共22场；胜场积2分，负场0分，积分排前四的队伍进入季后赛；季后赛半决赛是三场两胜制，决赛在中立场地一场定胜负；一场对决最多打5场，先赢3场的队伍获胜；赛季最终赢家就是TTBL联赛冠军。,,,"樊振东,萨尔布吕肯乒乓球甲级俱乐部,TTBL德国乒乓球甲级联赛","樊振东参加的德甲联赛赛制,老瓦评樊振东德甲表现",0.0,0.0,11.0,2025-09-10 18:28:00,微博网页版,['https://wx4.sinaimg.cn/large/001O7v94gy1i58ruat8d9j60j606amz502.jpg'],,,,neutral,0.5
5209758740780835,Q45RU3h87,7890527045,dongjingxiayulinshibali,#德国乒乓球甲级联赛##ttbl樊振东##樊振东德甲#,,,,"德国乒乓球甲级联赛,ttbl樊振东,樊振东德甲",0.0,0.0,1446.0,2025-09-11 18:32:00,,,,5209760000000000.0,,neutral,0.5
5209621688221969,Q42iQyuUp,1802897445,樱桃东塔妮,我对于这个德甲联赛越来越想了解更深了，着也许就是我们未来的样子求讲解球员一线二线如何安排的制度，转会制度，薪资制度等等。#德国乒乓球甲级联赛##看樊振东上优酷#,,,,"德国乒乓球甲级联赛,看樊振东上优酷",1.0,0.0,994.0,2025-09-11 09:27:00,REDMI K80 Pro,,,5209370000000000.0,,neutral,0.5
5208019713393286,Q3mD1eeKq,6353797473,於菟耿,樊振东德甲第二战：柯尼希斯霍芬VS萨尔布吕肯（顾星宇解说）2025-2026赛季德国乒乓球甲级联赛（备案号：Z0108283250913001）具体对阵：安德烈·贝塔斯迈尔VS帕特里克·弗朗西斯卡菲利普·泽利科VS樊振东丹尼尔·哈贝松VS爱德华·约内斯库安德烈·贝塔斯迈尔VS樊振东待定O网页链接@优酷,,,优酷,,0.0,0.0,0.0,2025-09-06 23:22:00,优酷安卓手机客户端,,,,,neutral,0.5
5207268146810120,Q334OszCE,5763832425,GutenTag东,樊振东德甲第二战：柯尼希斯霍芬VS萨尔布吕肯2025-2026赛季德国乒乓球甲级联赛（备案号：Z0108283250413001）O网页链接@优酷,,,优酷,,0.0,0.0,0.0,2025-09-04 21:35:00,优酷安卓手机客户端,,,,,neutral,0.5
5206841492506370,Q2RYFaw1k,7838210160,可爱的小灵猫,2025年8月27日(周三)，中国球员樊振东@樊振东亮相德国乒乓球甲级联赛萨尔布吕肯俱乐部举行的2025-2026赛季首场新闻发布会，他@樊振东于2025年8月31日（周日）迎来德甲首秀。@央视新闻@建业-守望乒乓球超话,,,"樊振东,央视新闻,建业-守望",,0.0,0.0,2.0,2025-09-03 17:20:00,乒乓球超话,['https://wx3.sinaimg.cn/large/008yskwwgy1i50mko5n7cj30j50j57fx.jpg'],,,,neutral,0.5
