word,freq
樊振东,122960
德甲,68472
期待,13240
俱乐部,12501
比赛,11767
加盟,10546
乒乓球,10443
首秀,10301
萨尔布吕肯,9718
德国,8608
赛场,7581
德甲联赛,7579
加油,7481
视频,7331
微博,7149
优酷,7007
发布会,6482
巴黎,5907
顺利,5479
奥运会,5265
收获,5219
联赛,4914
一周年,4769
夺冠,4740
球迷,4545
欧洲,4475
中国,4446
超级,3950
一切顺利,3875
东哥,3865
首胜,3846
揭幕战,3704
乒超,3397
赛季,3329
回应,3303
体育,3282
满贯,3256
新闻,3129
首战,2966
冠军,2882
客场,2741
出席,2689
亮相,2590
对手,2577
运动员,2535
一起,2512
一超话,2493
出战,2493
祝福,2488
乒颜,2430
欧冠,2411
快乐,2396
选手,2395
赛事,2344
打球,2301
今晚,2294
未来,2285
两连胜,2244
希望,2173
支持,2172
时间,2166
世界,2109
球队,2099
乒乓,2059
状态,1972
安踏,1955
参加,1954
开心,1928
开始,1883
甲级联赛,1883
之旅,1865
队友,1832
表示,1826
弗朗西斯,1824
国际,1817
门票,1812
系列,1793
健康,1780
乒坛,1769
实力,1744
技术,1742
波尔,1740
主场,1718
品牌,1716
成为,1702
继续,1693
代言人,1650
永远,1618
时刻,1612
大家,1593
相信,1585
小胖,1584
征战,1549
适应,1530
失利,1527
现场,1518
球员,1515
挑战,1514
热爱,1495
看到,1495
赛程,1438
加入,1424
留洋,1372
训练,1366
见证,1348
首场,1335
好好,1313
职业,1313
东东,1306
更好,1306
一定,1299
竞技,1292
一次,1289
高光,1270
一场,1265
樊振,1262
表现,1254
精彩,1237
莫雷,1231
喜欢,1213
经理,1202
作为,1191
计划,1187
调整,1164
一直,1159
不仅,1132
胜利,1127
迎来,1117
吴敬平,1111
加德,1098
需要,1095
奥运,1084
祝贺,1081
可爱,1075
影响力,1074
大使馆,1061
首位,1061
运动,1051
国乒,1038
关键,1037
这样,1035
个人,1034
开启,1031
确认,1022
驻华,1021
首次,1008
预告,1007
观众,1003
消息,997
全球,996
得主,993
对阵,992
人生,984
北京,982
来说,973
关注,972
凯迪拉克,972
预约,972
涨球,960
很多,959
男单,954
宝宝,948
代表,946
选择,943
职业生涯,942
效应,931
上海,927
享受,922
交流,915
直播,915
第二阶段,912
采访,907
赛后,905
第一,901
即将,900
拥有,894
战胜,893
媒体,892
球衣,891
知道,890
这种,884
超话,883
带来,882
国内,878
大满贯,875
鲁伊斯,873
一样,870
恭喜,868
所有,867
通过,865
决赛,864
德国杯,864
发展,860
奥运冠军,860
引发,860
更是,846
环境,838
售罄,832
氛围,830
生涯,827
美国,817
咚咚,815
意义,815
主动,813
发文,812
解说,806
这么,796
传奇,790
订婚,788
东首,784
文化,778
国家队,777
征程,773
教练,769
乒协,766
安排,763
一切,762
真正,759
巨星,757
接受,744
顶尖,744
正式,743
团队,741
多特蒙德,735
洛杉矶,732
宣布,731
提升,722
反手,712
准备,711
而是,710
感觉,706
职业联赛,706
争议,703
第三轮,703
觉得,698
生活,697
突破,697
连胜,696
德语,692
重要,689
顶级,686
闪耀,685
笑容,677
身份,677
保持,676
锁定,676
决定,669
这里,667
展现,663
对于,662
粉丝,659
能够,658
两场,650
回归,642
世界杯,641
越来越,641
特别,640
机会,638
大赛,637
霉霉,635
勇敢,633
去年,629
发布,625
队长,625
参赛,624
美好,624
回来,623
观赛,623
专业,619
取得,618
感谢,618
待遇,613
面对,613
如何,611
整个,608
最后,601
欢迎,601
销售,600
全新,597
啊啊啊,597
倪夏莲,595
目标,595
季前,593
这次,590
祝樊振东,589
问题,589
纽汀克,587
这场,587
名将,585
效力,584
专注,577
结束,575
幸福,574
拿下,571
强大,566
borntobefantastic,564
朱雨玲,562
官方,561
击败,559
一年,558
不怕,558
透露,558
此前,554
泽利科,552
战术,550
两分,546
前往,544
世界排名,539
网友,539
火爆,538
看台,536
尊重,534
参与,533
进行,530
退役,530
同样,529
水平,529
甚至,529
打法,527
这位,527
报道,526
欧元,526
看看,525
舒适,525
时候,522
实现,520
终于,519
不同,518
地产,517
王楚,516
第二轮,516
虽然,514
努力,512
如今,512
帮助,512
晚上,512
举行,508
打破,505
再次,504
冲击,503
联盟,502
体系,501
商业,501
社交,498
里程碑,498
启航,496
肯定,495
力量,494
只是,494
直接,494
推动,492
来自,491
这是,491
分析,490
纯粹,490
阶段,490
为了,489
瞬间,488
迅速,488
偶像,484
精神,484
创作,483
单打,483
再见,481
感受,481
能力,479
一些,476
压力,476
地方,475
音频,475
席卷,473
影响,472
wtt,470
平台,469
记者,469
魅力,466
来看,463
辉煌,463
值得,462
之前,460
接下来,460
保护,459
其实,458
央视,455
之后,452
国家,451
多方,451
施塔特,448
全运会,447
起来,447
所在,445
杜达,445
出发,444
成绩,444
赢得,443
三连胜,442
那么,442
迈尔,439
应该,436
mltt,435
核心,434
梦想,433
男团,433
当地,432
贝塔,432
贝格,432
公布,431
柯尼希,431
玉泽,430
高喊,429
近日,427
诺伊,424
临时,423
学习,420
获得,420
理解,419
才能,418
一分钟,416
两个,416
成就,416
身体,416
厉害,415
交手,414
提供,414
一单,413
投资,413
了解,409
其他,409
队伍,409
称樊振东,408
厦门,407
方博,406
评论,405
做好,404
成长,404
共同,402
观看,400
金牌,399
首个,399
两人,397
体验,397
节奏,396
完成,395
杜塞尔多夫,395
达科,395
不断,394
战略,391
斯霍芬,390
电台,390
热点,388
全场,387
官宣,387
伟大,386
体育馆,385
退出,385
宣传,384
海外,384
情况,383
优秀,382
焦点,382
友谊,379
不过,378
最终,376
完全,375
一路,374
迎战,374
价值,373
少年,373
证明,372
合作,371
出现,369
萨尔,369
转播,368
不要,367
谢谢,366
增设,365
集团,365
世乒赛,364
依然,363
年轻,363
球台,363
逆转,363
预计,362
外协,360
此次,359
确实,358
世界冠军,356
成功,355
每天,355
小时,354
经历,354
一步,353
正如,353
祝愿,353
第一阶段,353
勇气,352
坚守,352
自我,352
备战,351
不负,350
重新,350
只身,349
排名,349
外界,348
完美,347
海报,347
开通,346
