Unnamed: 0,帖子id,评论用户id,评论用户名,评论者是否认证,评论id,评论时间,评论内容,评论点赞数,评论子回复数,评论翻译,情感结果,情感得分
0,3.647e+18,2251505667,alexadm32,False,1.80875e+16,2025-06-08 10:15:36,Isso é bom pra Caldeirano,0,0,这玩意儿对卡尔代拉诺有用。,positive,0.7
1,3.647e+18,44074638,alghaxalee44,False,1.80683e+16,2025-06-05 16:16:21,🔥,0,0,🔥,negative,0.1
2,3.647e+18,4764605144,borninhk1971,False,1.80616e+16,2025-06-04 07:18:59,It will cost the German association a fortune I guess?!,3,0,德国协会估计要花一大笔钱了？！,negative,0.6
3,3.647e+18,7174098114,francisleoparada,False,1.80499e+16,2025-06-04 04:06:43,😮😮😮😮,0,0,😮😮😮😮,neutral,0.5
4,3.71348e+18,67017804678,ktsao11111,False,1.83853e+16,2025-09-04 21:52:07,Fan Zhendong's passion for table tennis will never cease!!🔥🔥🔥,0,0,樊振东对乒乓球的热情永不停歇！！🔥🔥🔥,positive,0.95
5,3.71348e+18,74961467438,helennong561,False,1.78983e+16,2025-09-04 10:18:11,继续加油樊振东，新环境需要适应一下!,1,0,继续加油樊振东，新环境需要适应一下!,positive,0.75
6,3.71348e+18,1789238426,cci.lee,False,1.80987e+16,2025-09-04 00:22:10,Good job everyone!👏👏👏,0,0,大家做得很好！👏👏👏,positive,0.95
7,3.71348e+18,62000808014,bricethomas_studio,False,1.79499e+16,2025-09-03 21:23:22,Nice work ! 😮,1,0,干得好！😮,positive,0.9
8,3.71348e+18,3520864187,hyx1229,False,1.85244e+16,2025-09-03 21:14:47,😍😍😍we love FanZhendong 👏👏👏,4,0,😍😍😍我们爱范振东👏👏👏,positive,0.95
9,3.71348e+18,36190473220,chodfhgf,False,1.80732e+16,2025-09-03 20:45:06,🥰🥰🥰,1,0,🥰🥰🥰,positive,0.99
10,3.71348e+18,3123177601,belasportfoto,False,1.81052e+16,2025-09-03 20:39:52,sehr schöne Serie! 😍😍😍,1,1,非常棒的剧集！😍🥰🥰,positive,0.95
11,3.72146e+18,1410819980,emiliafefe,False,1.83208e+16,2025-09-17 18:32:13,So cool this man!,0,0,这个男人真酷！,positive,0.9
12,3.72146e+18,5883426752,shevalock,False,1.81365e+16,2025-09-16 10:32:39,👏👏👏,0,0,👏👏👏,positive,0.95
13,3.72146e+18,16160769635,lequang.da,False,1.79413e+16,2025-09-15 17:38:18,HE is BACK 🔥,0,0,他回来了 🔥,positive,0.9
14,3.72146e+18,51138128082,tumyrzan,False,1.79735e+16,2025-09-15 14:17:18,Вот это Фан!!!❤️🇰🇿,0,0,太棒了！❤️🇰🇿,positive,0.95
15,3.72146e+18,74961467438,helennong561,False,1.80978e+16,2025-09-15 12:06:18,给我宝子选一张帅气的照片好么😂,0,0,给我宝子选一张帅气的照片好么😂,neutral,0.5
16,3.72146e+18,55536238683,action_yuan,False,1.81619e+16,2025-09-15 08:41:51,继续加油，多打几场比赛状态才能恢复,0,0,继续加油，多打几场比赛状态才能恢复,positive,0.75
17,3.72146e+18,70883337347,zd1234589,False,1.78556e+16,2025-09-15 07:25:35,😍😍,0,0,😍😍,positive,0.95
18,3.72146e+18,73058039415,cherish_d0122,False,1.79016e+16,2025-09-15 03:05:33,FANtastic ❤️❤️,1,0,太棒了❤️❤️,positive,0.95
19,3.72146e+18,3071865881,akiraishineko,False,1.80876e+16,2025-09-15 02:16:50,樊振東、おめでとう👏,2,0,樊振東、おめでとう👏,positive,0.95
20,3.72146e+18,75094364797,brightfeatherclearsky,False,1.80588e+16,2025-09-15 02:08:58,Fan Zhendong is the best!👏👏👏❤️❤️❤️,2,0,樊振东最棒了！👏👏👏❤️❤️❤️,positive,0.95
21,3.72146e+18,1528097858,ng_ka_heen04,False,1.80579e+16,2025-09-14 22:15:17,🔥,2,0,🔥,negative,0.1
22,3.72146e+18,70813818975,ctt_high_level_training,False,1.81428e+16,2025-09-14 20:39:24,King back !,11,0,国王回来了！,positive,0.9
23,3.72146e+18,43699810665,danielkowalski777,False,1.80257e+16,2025-09-14 20:37:32,Gooooo FZD!!!!! 👏👏👏👏👏,6,0,加油FZD!!!!! 👏👏👏👏👏,positive,0.95
24,3.72146e+18,46622161712,connie.pany,False,1.80948e+16,2025-09-14 20:34:41,👏恭喜东哥！打得漂亮！,3,0,👏恭喜东哥！打得漂亮！,positive,0.95
25,3.72142e+18,44838361246,mahrooz_hs,False,1.80879e+16,2025-09-18 01:44:21,❤️👏,0,0,爱心和鼓掌👏,positive,0.95
26,3.72142e+18,75561241129,clothes5403,False,1.80773e+16,2025-09-17 18:32:39,好棒❤️🙌,0,0,好棒❤️🙌,positive,0.95
27,3.72142e+18,1410819980,emiliafefe,False,1.808e+16,2025-09-17 18:32:38,Handsome man!,0,0,帅哥！,positive,0.9
28,3.72142e+18,1601253425,uysyn,False,1.83251e+16,2025-09-17 01:51:09,FZD #1,0,0,FZD #1,neutral,0.5
29,3.72142e+18,74911547616,the_warlord_10,False,1.78594e+16,2025-09-16 23:47:16,@jeet.rajpara,0,0,@jeet.rajpara,neutral,0.5
30,3.72142e+18,44073853463,samdrabik9,False,1.79988e+16,2025-09-16 16:29:27,@imrichdrabik,0,0,@imrichdrabik,neutral,0.5
31,3.72142e+18,4145873547,tabletennisworld_wwt,False,1.80403e+16,2025-09-16 12:01:30,face changing 😊😳😦😠,0,0,变脸 😊😳😦😠,neutral,0.5
32,3.72142e+18,1977619595,maggie19810624,False,1.80665e+16,2025-09-16 01:47:57,🙌🙌🙌🙌🙌,0,0,🙌🙌🙌🙌🙌,positive,0.95
33,3.72142e+18,1541593394,kingfung0701,False,1.80782e+16,2025-09-15 22:18:03,👏👏😍😍,0,0,👏👏😍😍,positive,0.95
34,3.72142e+18,51922574,wylamjen,False,1.83247e+16,2025-09-15 21:45:00,This is the FZD we as fans want to see! Playing his favourite sport without any worries! No more 「輸了球不行，贏了球好像也不太行！」,0,0,这就是我们粉丝们想看到的FZ！无忧无虑地玩他最喜欢的运动！不再有“输了比赛不行，赢了比赛好像也不太行！”了！,positive,0.85
35,3.72142e+18,76159129127,jj84199,False,1.8106e+16,2025-09-15 16:02:19,FANtastic,0,0,太棒了！,positive,0.95
36,3.72142e+18,51138128082,tumyrzan,False,1.80523e+16,2025-09-15 15:01:47,Фан ❤️❤️❤️👏👏👏👏👏Улыбка!❤️🇰🇿,0,0,范❤️❤️❤️👏👏👏👏👏微笑！❤️🇰🇿,positive,0.95
37,3.72142e+18,49383894929,noyalise,False,1.81623e+16,2025-09-15 14:20:10,@munkhrdnnrdn,0,0,@munkhrdnnrdn,neutral,0.5
38,3.72142e+18,76370361115,julyyyyyyy0804,False,1.80628e+16,2025-09-15 13:20:42,FZD ❤️❤️❤️,0,0,FZD ❤️❤️❤️,positive,0.95
39,3.72142e+18,74961467438,helennong561,False,1.78506e+16,2025-09-15 12:16:14,东东好可爱！,0,0,东东好可爱！,positive,0.95
40,3.72142e+18,267839360,_ricardojun,False,1.80727e+16,2025-09-15 11:52:26,Just having Fan,3,0,只是在玩梗。,neutral,0.5
41,3.72142e+18,51316070446,wtf_rudra_38,False,1.85068e+16,2025-09-15 09:01:14,@shivashish__prakash,1,1,@shivashish__prakash,neutral,0.5
42,3.72142e+18,55536238683,action_yuan,False,1.80519e+16,2025-09-15 08:40:57,so cute,1,0,好可爱呀,positive,0.9
43,3.72142e+18,51417504038,luoxiaohei951,False,1.80426e+16,2025-09-15 03:42:49,soooo cute❤️,2,0,好可爱呀❤️,positive,0.95
44,3.72142e+18,73058039415,cherish_d0122,False,1.79439e+16,2025-09-15 02:51:25,so cute and warm guy 🥺,2,0,好可爱又温暖的家伙🥺,positive,0.95
45,3.72142e+18,72786166787,cassialyuu,False,1.80919e+16,2025-09-15 02:24:21,要和樊选手一起加油进步🙌,1,0,要和樊选手一起加油进步🙌,positive,0.9
46,3.72142e+18,75094364797,brightfeatherclearsky,False,1.80406e+16,2025-09-15 01:24:37,Fan Zhendong is the best!,11,0,樊振东是最棒的！,positive,0.95
47,3.72142e+18,61075116089,thileepanv_b,False,1.80538e+16,2025-09-15 01:18:18,@dhyan.br when are we playing again 😭😭,0,0,@dhyan.br 我们什么时候再一起玩啊😭😭,negative,0.2
48,3.72142e+18,2201908842,shanjiro,False,1.80439e+16,2025-09-15 00:59:52,❤️❤️,1,0,❤️❤️,positive,0.99
49,3.72142e+18,642045123,pa0paoo,False,1.79878e+16,2025-09-15 00:46:42,omg so cute just like a baby,11,0,天啊，太可爱了，就像个小宝宝一样。,positive,0.95
50,3.72142e+18,2223055594,geeeagle_chen,False,1.8048e+16,2025-09-14 23:46:11,"So glad he is happy now, please take care of him",2,0,很高兴他现在开心了，请好好照顾他。,positive,0.9
51,3.72142e+18,64573317784,still_stars2,False,1.81467e+16,2025-09-14 23:45:31,❤️❤️so.cute,0,0,❤️❤️好可爱！,positive,0.95
52,3.72142e+18,5883426752,shevalock,False,1.79299e+16,2025-09-14 23:36:12,❤️❤️,0,0,❤️❤️,positive,0.99
53,3.72142e+18,70356266518,llsfzd240804,False,1.78581e+16,2025-09-14 23:33:27,cute！😍❤️🔥,0,0,可爱！😍❤️🔥,positive,0.95
54,3.72142e+18,7209182160,milk5881,False,1.79298e+16,2025-09-14 23:01:20,"please post more posts for FZD, thank you❤️",4,0,请多多发FZD相关内容，谢谢❤️,neutral,0.5
55,3.72142e+18,12836136674,lpingliu,False,1.79869e+16,2025-09-14 22:52:28,Fan ZD so cute 😍,2,0,范志毅好可爱 😍,positive,0.95
56,3.72142e+18,8058581563,0o0_chun_0o0,False,1.80789e+16,2025-09-14 22:33:05,看到东哥能继续开心打球太好了🥹,2,0,看到东哥能继续开心打球太好了🥹,positive,0.95
57,3.72142e+18,65079745574,abc0210abc,False,1.78807e+16,2025-09-14 22:09:06,Usmile ❤️,0,0,Usmile ❤️,positive,0.95
58,3.72142e+18,660410888,kooamber,False,1.80668e+16,2025-09-14 22:05:09,你笑起来真好看👏👏👏,6,0,你笑起来真好看👏👏👏,positive,0.95
59,3.72142e+18,1663314919,jyongch,False,1.79969e+16,2025-09-14 21:45:00,"hi dont need to win, he just want to enjoy 🙌",0,0,嗨，不用赢，他只是想享受一下🙌,neutral,0.5
60,3.72142e+18,2217325191,yolo_hakunamatata_,False,1.81188e+16,2025-09-14 21:27:50,@fanzhendong9248 FAN is the human shape Panda 🐼,6,0,@fanzhendong9248 樊先生是人形熊猫 🐼,positive,0.75
61,3.72142e+18,2217325191,yolo_hakunamatata_,False,1.84098e+16,2025-09-14 21:26:50,His smile 👏👏👏 @fanzhendong9248,6,0,他的笑容👏👏👏 @樊振东9248,positive,0.95
62,3.72142e+18,331003479,dauwbs,False,1.80229e+16,2025-09-14 21:22:23,I want my training bro to be FZD too 😂,26,1,我也想让我的训练伙伴成为FZD（大佬）😂,positive,0.75
63,3.72142e+18,11131917315,1slawchik_77,False,1.81195e+16,2025-09-14 20:41:51,@burkanovwv 🔥,1,0,@burkanovwv 🔥,positive,0.9
64,3.72142e+18,76459261761,jaykarlwei,False,1.80749e+16,2025-09-14 20:23:49,東哥好得意呀😝🥰,4,0,東哥好得意呀😝🥰,positive,0.95
65,3.72142e+18,44194268746,ninjitsuytber,False,1.80924e+16,2025-09-14 20:06:16,@rich_t21 best tt buddy ya❤️,5,0,@rich_t21 最好的转推伙伴啦❤️,positive,0.95
66,3.72142e+18,70883337347,zd1234589,False,1.78606e+16,2025-09-14 19:17:15,dongdong so cute😍,23,0,咚咚好可爱呀😍,positive,0.95
67,3.72142e+18,53493238536,dyntischtennis,False,1.80662e+16,2025-09-14 19:15:53,"Can he win his games today?! 
LIVE BEI DYN 🫶🏽",7,0,"他今天能赢得比赛吗？！
直播看Bei Dyn🫶🏽",positive,0.75
68,3.72142e+18,54294157645,dynsports,True,1.7993e+16,2025-09-14 19:15:21,😍🔥,11,1,😍🔥,positive,0.95
69,3.72147e+18,1183413780,iamivy_j,False,1.79638e+16,2025-09-19 09:22:05,🔥🔥🔥,0,0,🔥🔥🔥,positive,0.95
70,3.72147e+18,51300550416,shaxnoza24_07,False,1.79151e+16,2025-09-16 14:11:56,😮😮😮👏🔥,0,0,😮😮😮👏🔥,positive,0.95
71,3.72147e+18,63179146323,fgjjff_87036,False,1.80719e+16,2025-09-16 11:14:41,@moregardhtruls,0,0,@moregardhtruls,neutral,0.5
72,3.72147e+18,1541593394,kingfung0701,False,1.8038e+16,2025-09-16 11:08:56,👍👍,0,0,好的好的,neutral,0.5
73,3.72147e+18,69768851951,lindun18,False,1.80227e+16,2025-09-16 07:05:27,Fantasitic👏👏👏,0,0,太棒了👏👏👏,positive,0.95
74,3.72147e+18,12529225837,te.gian,False,1.80412e+16,2025-09-16 03:49:25,my goat,1,0,我的天呐。,negative,0.6
75,3.72147e+18,14960610912,johnas_floeren,False,1.80755e+16,2025-09-15 19:14:47,🙌🔥🔥🔥,0,0,哇塞！🔥 🔥 🔥,positive,0.95
76,3.72147e+18,43967911921,young15_forever,False,1.83191e+16,2025-09-15 17:56:58,🔥🔥,0,0,🔥🔥,positive,0.95
77,3.72147e+18,69576295799,xu33510,False,1.85349e+16,2025-09-15 17:52:41,He is back and and really enjoy the game🏓,1,0,他回来了，而且非常享受比赛🏓。,positive,0.9
78,3.72147e+18,1479811285,annaluo1201,False,1.80585e+16,2025-09-15 17:47:51,"It is not just technique, it’s Art! 😃👏👏👏",4,0,这不仅仅是技术，这是艺术！😃👏👏👏,positive,0.95
79,3.72147e+18,70400680761,sophie.weiwei,False,1.79623e+16,2025-09-15 17:17:35,超帅！🔥❤️,1,0,超帅！🔥❤️,positive,0.95
80,3.72147e+18,76159129127,jj84199,False,1.83132e+16,2025-09-15 16:07:03,太帅了吧！！,1,0,太帅了吧！！,positive,0.95
81,3.72147e+18,8947268274,kingyunko,False,1.80907e+16,2025-09-15 14:45:30,Fantastic👏👏👏,1,0,太棒了👏👏👏,positive,0.95
82,3.72147e+18,74961467438,helennong561,False,1.79174e+16,2025-09-15 12:18:50,这个侧切~,2,0,这个侧切~,negative,0.1
83,3.72147e+18,71589501417,luckygong84,False,1.80529e+16,2025-09-15 10:17:50,樊振东用行动告诉所有人，排名只是数字，真正的统治力，是在赛场上用实力说话 。他在德国的每一次挥拍，都是对乒乓球艺术的极致演绎，也是对自己王者地位的再次捍卫。祝樊振东以及萨尔布吕肯这支强大的队伍继续乘胜追击，登峰造极🏆,5,0,樊振东用行动告诉所有人，排名只是数字，真正的统治力，是在赛场上用实力说话 。他在德国的每一次挥拍，都是对乒乓球艺术的极致演绎，也是对自己王者地位的再次捍卫。祝樊振东以及萨尔布吕肯这支强大的队伍继续乘胜追击，登峰造极🏆,positive,0.95
84,3.72147e+18,68116965356,soosvt1,False,1.82197e+16,2025-09-15 09:36:19,基操,1,0,基操,neutral,0.5
85,3.72147e+18,55536238683,action_yuan,False,1.80762e+16,2025-09-15 08:45:40,昨天的比赛多特蒙德没有上主力，我相信他们是保存实力准备19日的德国杯比赛，而且他们并不想太早激发樊振东的实力，所以19号的德国杯比赛才是重要的，希望樊振东这几天可以更好的恢复状态和手感，也需要高强度比赛才能更快恢复,2,0,昨天的比赛多特蒙德没有上主力，我相信他们是保存实力准备19日的德国杯比赛，而且他们并不想太早激发樊振东的实力，所以19号的德国杯比赛才是重要的，希望樊振东这几天可以更好的恢复状态和手感，也需要高强度比赛才能更快恢复,positive,0.75
86,3.72147e+18,55536238683,action_yuan,False,1.83585e+16,2025-09-15 08:40:00,侧身爆冲,2,0,侧身爆冲,negative,0.2
87,3.72147e+18,2892876127,zjianing00,False,1.7943e+16,2025-09-15 08:37:09,👏😮🔥,0,0,👏😮🔥,positive,0.95
88,3.72147e+18,2155090538,drhenriquee,True,1.85337e+16,2025-09-15 04:33:03,Chop block like Truls 😊,0,0,像特鲁尔斯那样凶狠地拦截😊,positive,0.75
89,3.72147e+18,6100232014,jpierre.madridb,False,1.78905e+16,2025-09-15 04:15:29,Chop-block! ✂️,0,0,合体拦截！✂️,negative,0.1
90,3.72147e+18,709529973,ujjin12,False,1.83178e+16,2025-09-15 03:45:32,神之一手🥰,0,0,神之一手🥰,positive,0.95
91,3.72147e+18,51417504038,luoxiaohei951,False,1.83225e+16,2025-09-15 03:43:27,👏👏👏,0,0,👏👏👏,positive,0.95
92,3.72147e+18,4837657327,jasminebriz,False,1.80948e+16,2025-09-15 03:25:39,Yayyy we won. How powerful FZD🔥🔥🔥,1,0,耶！我们赢了。FZD 太厉害了🔥🔥🔥,positive,0.95
93,3.72147e+18,74846726525,pandahi0804,False,1.80995e+16,2025-09-15 03:13:49,Born to be FANtastic！🥳🥳🥳,1,0,天生就超凡！🥳🥳🥳,positive,0.95
94,3.72147e+18,73058039415,cherish_d0122,False,1.8071e+16,2025-09-15 02:49:46,It's an enjoyment to see FZD's match,1,0,观看FZD的比赛真是赏心悦目。,positive,0.9
95,3.72147e+18,72786166787,cassialyuu,False,1.80734e+16,2025-09-15 02:29:37,不愧是fantastic！这一球可以当最佳球了吧👌,1,0,不愧是fantastic！这一球可以当最佳球了吧👌,positive,0.95
96,3.72147e+18,3071865881,akiraishineko,False,1.78826e+16,2025-09-15 02:04:12,これが世界王者・樊振東！！！,9,0,これが世界王者・樊振東！！！,positive,0.95
97,3.72147e+18,75094364797,brightfeatherclearsky,False,1.80919e+16,2025-09-15 01:59:44,Super Fantastic 👏🔥🔥!,3,0,太棒了👏🔥🔥！,positive,0.95
98,3.72147e+18,75094364797,brightfeatherclearsky,False,1.78956e+16,2025-09-15 01:59:09,Fan Zhendong is the best ❤️!,3,0,樊振东最棒了❤️！,positive,0.95
99,3.72147e+18,7418784585,yuchen7739,False,1.84784e+16,2025-09-15 01:01:04,Szuper,0,0,太棒了！,positive,0.95
100,3.72147e+18,6449541889,marcelo_zayat,False,1.79162e+16,2025-09-15 00:55:53,@joaozinhoeonezava,0,0,@joaozinhoeonezava,neutral,0.5
101,3.72147e+18,63266733672,lamabecker,False,1.84051e+16,2025-09-15 00:55:01,Unfassbares Spiel heute von allen Spielern. 💙🖤,2,2,今天所有球员都表现得太棒了。💙🖤,positive,0.95
102,3.72147e+18,7693640276,prettychen1980,False,1.7846e+16,2025-09-15 00:17:06,哈哈😎👍,0,0,哈哈😎👍,positive,0.95
103,3.72147e+18,49289425835,_3ovo3_,False,1.80637e+16,2025-09-15 00:02:36,东哥最后一板太帅啦！👏👏👏👏,3,0,东哥最后一板太帅啦！👏👏👏👏,positive,0.95
104,3.72147e+18,5883426752,shevalock,False,1.80765e+16,2025-09-14 23:38:28,👏👏,0,0,👏👏,positive,0.99
105,3.72147e+18,2201067720,enkinxie,False,1.80683e+16,2025-09-14 23:37:18,Incredible Fan!,1,0,太棒的粉丝！,positive,0.95
106,3.72147e+18,70356266518,llsfzd240804,False,1.81066e+16,2025-09-14 23:33:05,😍😍😍🔥🔥🔥,0,0,哇塞！太棒了！,positive,0.95
107,3.72147e+18,17320409271,bhanuxsengar,False,1.81314e+16,2025-09-14 23:26:04,You can't keep him out of the game 🔥🔥🔥,1,0,你绝对不能把他排除在比赛之外 🔥🔥🔥,negative,0.2
108,3.72147e+18,1789238426,cci.lee,False,1.81096e+16,2025-09-14 23:13:52,Nice🔥🔥,1,0,好棒🔥🔥,positive,0.95
109,3.72147e+18,1476598132,raaachellmq,False,1.81773e+16,2025-09-14 23:07:28,🔥🔥🔥,0,0,🔥🔥🔥,positive,0.95
110,3.72147e+18,7369045529,diogo.s92,False,1.80506e+16,2025-09-14 22:46:28,The GOAT 🔥😍,5,0,史上最强！🔥😍,positive,0.95
111,3.72147e+18,8058581563,0o0_chun_0o0,False,1.80571e+16,2025-09-14 22:34:21,太帅了！！！东哥加油！萨尔布吕肯加油！,3,0,太帅了！！！东哥加油！萨尔布吕肯加油！,positive,0.95
112,3.72147e+18,72894406283,wondercolts3,False,1.81005e+16,2025-09-14 22:29:14,So powerful，so skillful，so wonderful，so speed，so admirable，Mr.Fantastic！！！,16,0,太厉害了，太熟练了，太棒了，速度太快了，令人钦佩的幻影先生！！！,positive,0.95
113,3.72147e+18,31605381128,cttbxy2020,False,1.81668e+16,2025-09-14 21:56:31,👏👏👏👏👏👏👏super super cool,0,0,👏👏👏👏👏👏👏 超级棒！,positive,0.95
114,3.72147e+18,49053442499,hhhelenwu,False,1.79724e+16,2025-09-14 21:52:48,越来越熟悉德国比赛节奏咯👏看得出来他挺享受比赛,4,0,越来越熟悉德国比赛节奏咯👏看得出来他挺享受比赛,positive,0.9
115,3.72147e+18,48907634191,ali._.alburaki,False,1.78827e+16,2025-09-14 21:50:48,Did bro seriously have the guts to do an around the net from the backhand side with a forehand?😭,67,1,兄弟，你认真的吗？居然用正手来回网绕过防守了？😭,negative,0.2
116,3.72147e+18,1934494551,awit.zhang,False,1.80718e+16,2025-09-14 21:30:19,"Mega Spiel! Fan Zhendong lacht wieder so herzlich, wie schön!",32,0,太棒了！樊振东又那样发自内心地笑了，真是太好了！,positive,0.95
117,3.72147e+18,61541818987,jan.stindl,False,1.79618e+16,2025-09-14 21:20:14,"...das Fan in der Saarbrücken spielt ist absolut großartig, aber die WTT-Turniere zerreißen den gesamten Wettbewerb gewaltig. Ob Dortmund mit Lind/Karlsson oder mit Mino/Szudi spielt, macht dann schon einen Unterschied. Zumindest Lind und auf saarbrücker Seite Franziska spielten ja in Macao.",6,1,在萨尔布吕肯比赛的观众真是太棒了，但WTT的比赛严重破坏了整个竞争。多特蒙德是和林德/卡尔松打，还是和米诺/斯祖迪打，这肯定有区别。至少林德和萨尔布吕肯方面的弗兰齐斯卡在澳门比赛过。,negative,0.45
118,3.72147e+18,6884922696,evaaaaa0306,False,1.79974e+16,2025-09-14 21:16:29,😢😢fantastic,2,0,😭😭太棒了,positive,0.95
119,3.72147e+18,52928464638,mission_tischtennis,True,1.80867e+16,2025-09-14 21:13:39,Fan Zhen Bammmm💥 Crazy Match Winner 👏👏,13,0,范震 砰💥 疯狂的比赛赢家 👏👏,positive,0.95
120,3.72147e+18,4032777358,vvilllkook,False,1.7849e+16,2025-09-14 21:07:07,太厲害了😍😍😍🔥🔥,6,0,太厲害了😍😍😍🔥🔥,positive,0.95
121,3.72147e+18,56551816470,nonono_alsono,False,1.80531e+16,2025-09-14 20:59:49,FZD is back!!🔥,48,0,FZD回归啦！！🔥,positive,0.95
122,3.72147e+18,75470662924,bozgeyik_muhammed27,False,1.78941e+16,2025-09-14 20:54:15,ma long copyrights,7,0,马龙版权问题,negative,0.6
123,3.72147e+18,69976528469,fanyan9701,False,1.80748e+16,2025-09-14 20:51:19,太快了😂,2,0,太快了😂,positive,0.9
124,3.72147e+18,69969493608,eeemin11,False,1.80405e+16,2025-09-14 20:50:04,最后一球非常帅气！,8,0,最后一球非常帅气！,positive,0.9
125,3.72147e+18,4506866164,llchuochuo,False,1.79713e+16,2025-09-14 20:49:27,贴地重炮😂,4,0,贴地重炮😂,negative,0.2
126,3.72147e+18,53493238536,dyntischtennis,False,1.79105e+16,2025-09-14 20:47:59,Has he arrrived in the @ttbuli? 😳,26,1,他到@TT布里了吗？😳,neutral,0.5
127,3.72285e+18,75094364797,brightfeatherclearsky,False,1.79871e+16,2025-09-19 11:25:49,无人扶我青云志，我自踏雪执山巅,0,0,无人扶我青云志，我自踏雪执山巅,positive,0.75
128,3.72285e+18,75094364797,brightfeatherclearsky,False,1.79448e+16,2025-09-19 11:24:50,Fan Zhendong is the best 👏!,0,0,樊振东最棒了👏！,positive,0.95
129,3.72285e+18,6714796066,yomi170301,False,1.81222e+16,2025-09-18 08:49:13,Fan Zhendong👏👏👏👏,1,0,樊振东👏👏👏👏,positive,0.95
130,3.72285e+18,366820866,ada_tianwen,False,1.82907e+16,2025-09-17 16:44:53,Fighting!,1,0,加油！,positive,0.95
131,3.72285e+18,6884922696,evaaaaa0306,False,1.80661e+16,2025-09-17 10:55:02,🔥FZD lets go,1,0,🔥FZD 冲啊！,positive,0.95
132,3.72285e+18,45306852,sonia_syd888,False,1.78461e+16,2025-09-17 06:11:56,"He is the best!!! I am hoping to fly down there next year, cant wait for you guys to release his games for next year. ❤️❤️❤️",3,0,他最棒了！！！我希望明年能飞过去，迫不及待想看到你们明年发布他的游戏了。❤️❤️❤️,positive,0.95
133,3.72285e+18,65099220364,weier621,False,1.83289e+16,2025-09-17 05:38:55,The banner in the video is mine. I hope both Fan and the club like it. ❤️,12,1,视频里的横幅是我的。希望Fan和俱乐部都喜欢！❤️,positive,0.9
